2018-09-09 09:46:47,349 [   4053]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/JetBrains/pycharm-2018.2/bin/fsnotifier64 
2018-09-09 09:46:47,358 [   4062]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2018-09-09 09:46:47,516 [   4220]   INFO - tellij.openapi.util.IconLoader - replace '/nodes/newFolder.png' with 'AllIcons.Nodes.Folder' 
2018-09-09 09:46:48,067 [   4771]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2018-09-09 09:46:48,068 [   4772]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2018-09-09 09:46:48,209 [   4913]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2018-09-09 09:46:48,230 [   4934]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2018-09-09 09:46:48,270 [   4974]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2018-09-09 09:46:48,358 [   5062]   INFO - j.ide.ui.OptionsTopHitProvider - 200 ms spent to cache options in application 
2018-09-09 09:46:48,358 [   5062]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.OptionsTopHitProvider$Activity@30ac0b68 
2018-09-09 09:46:48,475 [   5179]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:121, number of extensions:37 
2018-09-09 09:46:48,480 [   5184]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:5 
2018-09-09 09:46:48,552 [   5256]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:68, number of extensions:79 
2018-09-09 09:46:48,553 [   5257]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2018-09-09 09:46:48,809 [   5513]   INFO -            PyTestLegacyInterop - Disabling com.jetbrains.python.testing.unittestLegacy.PythonUnitTestConfigurationProducer@4e3edc03 
2018-09-09 09:46:48,809 [   5513]   INFO -            PyTestLegacyInterop - Disabling com.jetbrains.python.testing.pytestLegacy.PyTestConfigurationProducer@52bfafbf 
2018-09-09 09:46:48,809 [   5513]   INFO -            PyTestLegacyInterop - Disabling com.jetbrains.python.testing.nosetestLegacy.PythonNoseTestConfigurationProducer@16a58284 
2018-09-09 09:46:48,833 [   5537]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from /home/op3ntrp/.PyCharm2018.2/system/index/.persistent/prebuilt/Python/id-index.input 
2018-09-09 09:46:48,891 [   5595]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.ssh.one.time.password' has changed to 'true" 
2018-09-09 09:46:48,911 [   5615]   INFO - plication.impl.ApplicationImpl - 83 application components initialized in 2640ms 
2018-09-09 09:46:48,916 [   5620]   INFO - .intellij.idea.IdeaApplication - App initialization took 6285 ms 
2018-09-09 09:46:49,214 [   5918]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Stylus,Mako,TypeScript,Cython,Markdown,Flow,Literate CoffeeScript,Jinja2,HTML,Python,Ini,JSX Harmony,SCSS,JavaScript,Puppet,Sass,CoffeeScript,XML,PythonStub,Properties,ActionScript,SQL,TypeScript JSX,CSS,Less,ECMAScript 6 
2018-09-09 09:46:49,366 [   6070]   INFO - pl$FileIndexDataInitialization - Initialization done:886 
2018-09-09 09:46:49,444 [   6148]   INFO - exImpl$StubIndexInitialization - Initialization done:77 
2018-09-09 09:46:49,686 [   6390]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=18, fontScale=1.5 
2018-09-09 09:46:49,821 [   6525]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2018-09-09 09:46:50,282 [   6986]   INFO - j.ide.ui.OptionsTopHitProvider - 397 ms spent on EDT to cache options in application 
2018-09-09 09:46:50,433 [   7137]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@4b8d0aee 
2018-09-09 09:46:50,709 [   7413]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@542bbc1b 
2018-09-09 09:46:50,951 [   7655]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.codeInsight.completion.CompletionPreloader@4eaff775 
2018-09-09 09:46:50,958 [   7662]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.actions.GotoClassPresentationUpdater@40dbb320 
2018-09-09 09:47:05,720 [  22424]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2018-09-09 09:47:05,720 [  22424]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2018-09-09 09:47:05,720 [  22424]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2018-09-09 09:47:05,736 [  22440]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2018-09-09 09:47:05,738 [  22442]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2018-09-09 09:47:05,741 [  22445]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2018-09-09 09:47:05,743 [  22447]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2018-09-09 09:47:05,745 [  22449]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2018-09-09 09:47:05,746 [  22450]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2018-09-09 09:47:05,753 [  22457]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2018-09-09 09:47:05,754 [  22458]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
